line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,voice_project,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text
15,MS01_X01_A0_0020_F_HEW_0080.wav,MS01_X01_A0_0020_F_HEW_0080,6,6,6,7,ฮิวเอทท์,unknown,female,hughette,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P007/candidate_01.wav,ก็ฝ่าบาทบอกข้าน่ะสิ ตอนที่เขาบัญชาให้ข้าคอยมาคุ้มกันท่านน่ะ,,,PENDING_MANUAL_GENERATION,
16,MS01_X01_A0_0020_M_RLN_0090.wav,MS01_X01_A0_0020_M_RLN_0090,16,16,16,17,โรแลนด์,unknown,male,roland,triangle-strategy,assets/approved_voice_references/roland.wav,ชิ ท่านพ่อรู้มาโดยตลอดสินะ...,,,PENDING_MANUAL_GENERATION,
17,MS01_X01_A0_0020_F_HEW_0090.wav,MS01_X01_A0_0020_F_HEW_0090,7,7,7,8,ฮิวเอทท์,unknown,female,hughette,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P007/candidate_01.wav,และข้าตัดสินใจจะสู้เคียงข้างท่าน รอบนี้ท่านไม่พ้นสายตาข้าแน่!,,,PENDING_MANUAL_GENERATION,
18,MS01_X01_A0_0020_M_RLN_0100.wav,MS01_X01_A0_0020_M_RLN_0100,17,17,17,18,โรแลนด์,unknown,male,roland,triangle-strategy,assets/approved_voice_references/roland.wav,...ตามสบายเลยจ้า,,,PENDING_MANUAL_GENERATION,
19,MS01_X01_A0_0030_M_FRN_0010.wav,MS01_X01_A0_0030_M_FRN_0010,28,28,28,29,แฟรนี่,npc,male,frani,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,แล้วน้องข้ามันหายหัวไปไหนเนี่ย? อุตส่าห์บอกไปแล้วด้วยซ้ำว่าช่วยอยู่ต้อนรับแขกก่อน,,,PENDING_MANUAL_GENERATION,
20,MS01_X01_A0_0030_M_PTR_0010.wav,MS01_X01_A0_0030_M_PTR_0010,42,42,42,43,พาทริเอ็ทท์,npc,male,patriatte,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N004/candidate_01.wav,เหมือนว่าองค์ชายโรแลนด์จะไม่เชื่อฟังทหารองครักษ์ แล้วออกไปเที่ยวเล่น...ตามปกติของเขาขอรับ,,,PENDING_MANUAL_GENERATION,
21,MS01_X01_A0_0030_M_PTR_0020.wav,MS01_X01_A0_0030_M_PTR_0020,43,43,43,44,พาทริเอ็ทท์,npc,male,patriatte,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N004/candidate_01.wav,ให้ตายสิ โลกนี้สร้างเด็กผู้ชายมาให้เราหัวหมุนชัดๆ,,,PENDING_MANUAL_GENERATION,
22,MS01_X01_A0_0030_M_FRN_0020.wav,MS01_X01_A0_0030_M_FRN_0020,29,29,29,30,แฟรนี่,npc,male,frani,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,อับอายขายขี้หน้าวงศ์ตระกูลจริงเชียว,,,PENDING_MANUAL_GENERATION,
23,MS01_X01_A0_0030_M_FRN_0030.wav,MS01_X01_A0_0030_M_FRN_0030,30,30,30,31,แฟรนี่,npc,male,frani,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,...ช่างมันเถอะ ข้าจัดการเองก็ได้,,,PENDING_MANUAL_GENERATION,
24,MS01_X01_A0_0030_M_CLR_0010.wav,MS01_X01_A0_0030_M_CLR_0010,18,18,18,19,แคลรุส,npc,male,clarus,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N301/candidate_03.wav,แขกผู้มีเกียรติของท่านมาถึงแล้วขอรับ องค์ชาย,,,PENDING_MANUAL_GENERATION,
25,MS01_X01_A0_0030_M_FRN_0040.wav,MS01_X01_A0_0030_M_FRN_0040,31,31,31,32,แฟรนี่,npc,male,frani,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,มีคนที่ข้าไม่คุ้นหน้าด้วยสินะ เจ้าช่วยแนะนำให้ข้ารู้จักหน่อยจะได้มั้ย แคลรุส?,,,PENDING_MANUAL_GENERATION,
26,MS01_X01_A0_0030_M_CLR_0020.wav,MS01_X01_A0_0030_M_CLR_0020,19,19,19,20,แคลรุส,npc,male,clarus,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N301/candidate_03.wav,ได้ขอรับ องค์ชาย,,,PENDING_MANUAL_GENERATION,
27,MS01_X01_A0_0030_M_CLR_0030.wav,MS01_X01_A0_0030_M_CLR_0030,20,20,20,21,แคลรุส,npc,male,clarus,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N301/candidate_03.wav,หญิงน่าเกรงขามผู้นั้น คือผู้บัญชาการอัฟโลร่าแห่งเอสฟรอสต์,,,PENDING_MANUAL_GENERATION,
28,MS01_X01_A0_0030_M_CLR_0040.wav,MS01_X01_A0_0030_M_CLR_0040,21,21,21,22,แคลรุส,npc,male,clarus,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N301/candidate_03.wav,"ความสามารถในการรบของนางนั้นดีเยี่ยมจนบางคนก็พูดว่า นางคือ ""โกรม่าหมัดเหล็ก"" วีรสตรีแห่งสงครามซอลไอรอนกลับชาติมาเกิด",,,PENDING_MANUAL_GENERATION,
29,MS01_X01_A0_0030_M_CLR_0050.wav,MS01_X01_A0_0030_M_CLR_0050,22,22,22,23,แคลรุส,npc,male,clarus,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N301/candidate_03.wav,หากนางแข็งแกร่งตามที่ลือกันมาจริงๆ นางคงเอาชนะผู้อื่นได้มากมาย รองจากหอกรุ่งอรุณขอรับ,,,PENDING_MANUAL_GENERATION,
30,MS01_X01_A0_0030_M_CLR_0060.wav,MS01_X01_A0_0030_M_CLR_0060,23,23,23,24,แคลรุส,npc,male,clarus,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N301/candidate_03.wav,เขาผู้นั้นคือรัฐมนตรี เอกซ์เฮม มาเชียล แห่งรัฐศักดิ์สิทธิ์ไฮแซนต์,,,PENDING_MANUAL_GENERATION,
31,MS01_X01_A0_0030_M_CLR_0070.wav,MS01_X01_A0_0030_M_CLR_0070,24,24,24,25,แคลรุส,npc,male,clarus,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N301/candidate_03.wav,เขาคือผู้ถูกแต่งตั้งคนล่าสุดแห่งเจ็ดผู้ศักดิ์สิทธิ์ หน้าที่ของเขาคือการดูแลทหารและการทูต อายุเท่านี้แต่มีหน้าที่ในตำแหน่งอันสำคัญ...ช่างน่าประทับใจจริงๆนะขอรับ,,,PENDING_MANUAL_GENERATION,
32,MS01_X01_A0_0030_M_FRN_0050.wav,MS01_X01_A0_0030_M_FRN_0050,32,32,32,33,แฟรนี่,npc,male,frani,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,ผู้บัญชาการแห่งราชรัฐ และความหวังของอาณาจักรไฮแซนต์สินะ... หวังว่าข้าจะได้ข่าวคราวของพวกเขาอีกในอนาคต,,,PENDING_MANUAL_GENERATION,
33,MS01_X01_A0_0030_M_FRN_0060.wav,MS01_X01_A0_0030_M_FRN_0060,33,33,33,34,แฟรนี่,npc,male,frani,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,ข้ารู้จักเขา ซอสเลย์ เอนด์ แห่งไฮแซนต์ใช่ไหม?,,,PENDING_MANUAL_GENERATION,
34,MS01_X01_A0_0030_M_CLR_0080.wav,MS01_X01_A0_0030_M_CLR_0080,25,25,25,26,แคลรุส,npc,male,clarus,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N301/candidate_03.wav,ใช่แล้วขอรับ อย่างที่ท่านทราบดี เขาคือรัฐมนตรีว่าการกระทรวงเกลือแห่งอาณาจักรไฮแซนต์ เป็นตำแหน่งอันทรงเกียรติ แต่เขาเคยบอกว่า ช่วงนี้รู้สึกเหมือนถูกรัฐมนตรีข่มขู่...,,,PENDING_MANUAL_GENERATION,
35,MS01_X01_A0_0030_M_FRN_0070.wav,MS01_X01_A0_0030_M_FRN_0070,34,34,34,35,แฟรนี่,npc,male,frani,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,แม้แต่เสาหลักแห่งรัฐศักดิ์สิทธิ์ ก็ไม่รอดพ้นจากปัญหาภายในสินะ...,,,PENDING_MANUAL_GENERATION,
36,MS01_X01_A0_0030_M_FRN_0080.wav,MS01_X01_A0_0030_M_FRN_0080,35,35,35,36,แฟรนี่,npc,male,frani,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,ขอบใจมาก แคลรุส ข้าไม่แปลกใจเลยว่าทำไมพวกเขาถึงแต่งตั้งให้เจ้าเป็นหัวหน้าสมาคม,,,PENDING_MANUAL_GENERATION,
37,MS01_X01_A0_0030_M_CLR_0090.wav,MS01_X01_A0_0030_M_CLR_0090,26,26,26,27,แคลรุส,npc,male,clarus,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N301/candidate_03.wav,ในฐานะที่ข้าได้รับการแต่งตั้งให้เป็นผู้รับแทงในการประลองครั้งนี้ ข้าต้องทำความรู้จักผู้เข้าแข่งขันให้ดีขอรับ,,,PENDING_MANUAL_GENERATION,
38,MS01_X01_A0_0030_M_PTR_0030.wav,MS01_X01_A0_0030_M_PTR_0030,44,44,44,45,พาทริเอ็ทท์,npc,male,patriatte,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N004/candidate_01.wav,องค์ชาย พี่น้องของอาร์ชดยุก ลอร์ดธาลาส กับ ท่านหญิงเอริก้า มาถึงที่นี่แล้ว,,,PENDING_MANUAL_GENERATION,
39,MS01_X01_A0_0030_M_PTR_0040.wav,MS01_X01_A0_0030_M_PTR_0040,45,45,45,46,พาทริเอ็ทท์,npc,male,patriatte,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N004/candidate_01.wav,พวกเขาจะเข้าร่วมงานฉลองในนามของ อาร์ชดยุก กุสตาดอล์ฟ ขอรับ,,,PENDING_MANUAL_GENERATION,
40,MS01_X01_A0_0030_M_CLR_0100.wav,MS01_X01_A0_0030_M_CLR_0100,27,27,27,28,แคลรุส,npc,male,clarus,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N301/candidate_03.wav,ว่ากันว่า ลอร์ดธาลาสได้ถูกแต่งตั้งเป็นนายกรัฐมนตรี ซึ่งทำให้เขาเป็นผู้มีอำนาจเป็นลำดับที่สองเหนือใครอื่นในอาณาจักรเอสฟรอสต์,,,PENDING_MANUAL_GENERATION,
41,MS01_X01_A0_0030_M_FRN_0090.wav,MS01_X01_A0_0030_M_FRN_0090,36,36,36,37,แฟรนี่,npc,male,frani,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,อาร์ชดยุก กุสตาดอล์ฟ ให้ความสำคัญกับเสรีภาพมากกว่าสิ่งอื่นใด รวมถึงเสรีภาพที่จะแต่งตั้งให้คนในครอบครัวตัวเองมีอำนาจเหนือผู้อื่นด้วยสินะ,,,PENDING_MANUAL_GENERATION,
42,MS01_X01_A0_0030_M_PTR_0050.wav,MS01_X01_A0_0030_M_PTR_0050,46,46,46,47,พาทริเอ็ทท์,npc,male,patriatte,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N004/candidate_01.wav,ด้วยความเคารพขอรับองค์ชาย การตัดสินใจของอาณาจักรอื่นมันเป็นเรื่องของพวกเขา พยายามอย่าพูดอะไรที่สร้างความร้าวฉานกับความสัมพันธ์อันดีในครั้งนี้เลยขอรับ,,,PENDING_MANUAL_GENERATION,
43,MS01_X01_A0_0030_M_FRN_0100.wav,MS01_X01_A0_0030_M_FRN_0100,37,37,37,38,แฟรนี่,npc,male,frani,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,ไม่ต้องเตือนข้าหรอกน่า พาทริเอ็ทท์ การบาดหมางกับผู้อื่นมันไม่เกิดประโยชน์หรอก,,,PENDING_MANUAL_GENERATION,
44,MS01_X01_A0_0030_M_FRN_0110.wav,MS01_X01_A0_0030_M_FRN_0110,38,38,38,39,แฟรนี่,npc,male,frani,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,แขกผู้มีเกียรติทุกท่าน ข้าคือแฟรนี่ มกุฎราชกุมารแห่งเกลนบรู๊ค เป็นเกียรติอย่างยิ่งที่ได้ต้อนรับพวกท่านเข้าสู่อาณาจักรของเราในนามของพ่อข้า,,,PENDING_MANUAL_GENERATION,
45,MS01_X01_A0_0030_M_FRN_0120.wav,MS01_X01_A0_0030_M_FRN_0120,39,39,39,40,แฟรนี่,npc,male,frani,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,โปรดวางใจ พวกเราจะทุ่มเทกับงานฉลองในวันพรุ่งนี้อย่างเต็มที่ จงเฉลิมฉลองให้ยุคใหม่แห่งสายสัมพันธ์ระหว่างเรา,,,PENDING_MANUAL_GENERATION,
46,MS01_X01_A0_0030_M_FRN_0130.wav,MS01_X01_A0_0030_M_FRN_0130,40,40,40,41,แฟรนี่,npc,male,frani,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,ซึ่งข้าคิดว่าบางคนคงอดใจแสดงฝีมือให้เห็นในงานประลองไม่ได้เพราะอยากดื่มด่ำกับบรรยากาศให้เต็มที่,,,PENDING_MANUAL_GENERATION,
47,MS01_X01_A0_0030_M_FRN_0140.wav,MS01_X01_A0_0030_M_FRN_0140,41,41,41,42,แฟรนี่,npc,male,frani,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,เมื่อพวกท่านพร้อม...ข้าขออนุญาตพาพวกท่านไปยังปราสาทไวท์โฮล์ม ซึ่งเป็นสถานที่จัดงานในวันพรุ่งนี้,,,PENDING_MANUAL_GENERATION,
48,MS01_X01_A1_0010_F_FRE_0010.wav,MS01_X01_A1_0010_F_FRE_0010,47,47,47,48,เฟรเดอริก้า,unknown,female,frederica,triangle-strategy,assets/approved_voice_references/frederica.wav,ขอบใจที่มาส่งข้านะ พวกเจ้าไปได้แล้วล่ะ,,,PENDING_MANUAL_GENERATION,
49,MS01_X01_A1_0010_M_M155_0010.wav,MS01_X01_A1_0010_M_M155_0010,65,65,65,66,ทหารเอสฟรอสต์,npc,male,MALE_YOUNG_A,triangle-strategy,assets/triangle-strategy/approved_voice_references/MALE_YOUNG_A.wav,แต่ท่านหญิงเฟรเดอริก้า... ตอนนี้ยังไม่มีใครมารับท่านเลยนะขอรับ,,,PENDING_MANUAL_GENERATION,
50,MS01_X01_A1_0010_F_FRE_0020.wav,MS01_X01_A1_0010_F_FRE_0020,48,48,48,49,เฟรเดอริก้า,unknown,female,frederica,triangle-strategy,assets/approved_voice_references/frederica.wav,เดี๋ยวเขาก็มาจ้ะ เขาไม่ใช่คนที่ปล่อยให้ผู้หญิงต้องคอยนานหรอก,,,PENDING_MANUAL_GENERATION,
51,MS01_X01_A1_0010_M_M155_0020.wav,MS01_X01_A1_0010_M_M155_0020,66,66,66,67,ทหารเอสฟรอสต์,npc,male,MALE_YOUNG_A,triangle-strategy,assets/triangle-strategy/approved_voice_references/MALE_YOUNG_A.wav,เช่นนั้นพวกเราขอตัว ขอให้ท่านได้พบกับความสุขนิรันดร์ขอรับ,,,PENDING_MANUAL_GENERATION,
52,MS01_X01_A1_0010_F_FRE_0030.wav,MS01_X01_A1_0010_F_FRE_0030,49,49,49,50,เฟรเดอริก้า,unknown,female,frederica,triangle-strategy,assets/approved_voice_references/frederica.wav,ขอบใจนะ ข้าจะอุทิศตนเพื่อบ้านใหม่และบ้านเกิดของข้าอย่างเต็มที่เลย,,,PENDING_MANUAL_GENERATION,
53,MS01_X01_A1_0010_F_FRE_0040.wav,MS01_X01_A1_0010_F_FRE_0040,50,50,50,51,เฟรเดอริก้า,unknown,female,frederica,triangle-strategy,assets/approved_voice_references/frederica.wav,ฝากกลับไปบอก อาร์ชดยุก พี่ชายข้าด้วยนะ,,,PENDING_MANUAL_GENERATION,
54,MS01_X01_A1_0010_M_M155_0030.wav,MS01_X01_A1_0010_M_M155_0030,67,67,67,68,ทหารเอสฟรอสต์,npc,male,MALE_YOUNG_A,triangle-strategy,assets/triangle-strategy/approved_voice_references/MALE_YOUNG_A.wav,ตามบัญชาขอรับท่านหญิง ฝากท่านดูแลต่อด้วยนะ จีล่า,,,PENDING_MANUAL_GENERATION,
55,MS01_X01_A1_0010_F_YRA_0010.wav,MS01_X01_A1_0010_F_YRA_0010,58,58,58,59,จีล่า,unknown,female,geela,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P005/candidate_01.wav,ข้าจะไม่ทำให้ผิดหวัง,,,PENDING_MANUAL_GENERATION,
56,MS01_X01_A1_0010_F_YRA_0020.wav,MS01_X01_A1_0010_F_YRA_0020,59,59,59,60,จีล่า,unknown,female,geela,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P005/candidate_01.wav,ฟู่ว... ถึงเกลนบรู๊คสักทีสินะ ในที่สุดพวกเราก็จะได้พักหลังจากเดินทางไกลเสียที,,,PENDING_MANUAL_GENERATION,
57,MS01_X01_A1_0010_F_YRA_0030.wav,MS01_X01_A1_0010_F_YRA_0030,60,60,60,61,จีล่า,unknown,female,geela,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P005/candidate_01.wav,...จะว่าไป เหมือนว่าเรามาถึงก่อนเวลานะเจ้าคะ,,,PENDING_MANUAL_GENERATION,
58,MS01_X01_A1_0010_F_FRE_0050.wav,MS01_X01_A1_0010_F_FRE_0050,51,51,51,52,เฟรเดอริก้า,unknown,female,frederica,triangle-strategy,assets/approved_voice_references/frederica.wav,ยังดีกว่ามาสายก็แล้วกัน,,,PENDING_MANUAL_GENERATION,
59,MS01_X01_A1_0010_F_FRE_0060.wav,MS01_X01_A1_0010_F_FRE_0060,52,52,52,53,เฟรเดอริก้า,unknown,female,frederica,triangle-strategy,assets/approved_voice_references/frederica.wav,วันนี้เป็นวันสำคัญของเอสฟรอสต์ และของทั้งดินแดนแห่งนี้เลย พวกเราห้ามสร้างภาพจำที่ไม่ดีเชียวนะ,,,PENDING_MANUAL_GENERATION,
60,MS01_X01_A1_0010_F_YRA_0040.wav,MS01_X01_A1_0010_F_YRA_0040,61,61,61,62,จีล่า,unknown,female,geela,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P005/candidate_01.wav,เห็นด้วยเจ้าค่ะ ท่านถึงต้องเลิกทำสีหน้าเคร่งเครียดยังไงล่ะ,,,PENDING_MANUAL_GENERATION,
61,MS01_X01_A1_0010_F_YRA_0050.wav,MS01_X01_A1_0010_F_YRA_0050,62,62,62,63,จีล่า,unknown,female,geela,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P005/candidate_01.wav,เราลองไปเดินเล่นกันหน่อยดีไหม?,,,PENDING_MANUAL_GENERATION,
62,MS01_X01_A1_0010_F_FRE_0070.wav,MS01_X01_A1_0010_F_FRE_0070,53,53,53,54,เฟรเดอริก้า,unknown,female,frederica,triangle-strategy,assets/approved_voice_references/frederica.wav,...ก็ดีนะ นี่อาจจะเป็นครั้งสุดท้ายที่ข้ามีอิสระในการทำตามใจตัวเองก็ได้,,,PENDING_MANUAL_GENERATION,
63,MS01_X01_A1_0010_F_FRE_0080.wav,MS01_X01_A1_0010_F_FRE_0080,54,54,54,55,เฟรเดอริก้า,unknown,female,frederica,triangle-strategy,assets/approved_voice_references/frederica.wav,คนส่วนมากคงไม่ยอมมอบอิสระให้ชาวโรเซลล์อย่างข้าหรอก,,,PENDING_MANUAL_GENERATION,
64,MS01_X01_A1_0010_F_YRA_0060.wav,MS01_X01_A1_0010_F_YRA_0060,63,63,63,64,จีล่า,unknown,female,geela,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P005/candidate_01.wav,ท่านพกสร้อยนั่นมาด้วยเหรอ?,,,PENDING_MANUAL_GENERATION,
65,MS01_X01_A1_0010_F_FRE_0090.wav,MS01_X01_A1_0010_F_FRE_0090,55,55,55,56,เฟรเดอริก้า,unknown,female,frederica,triangle-strategy,assets/approved_voice_references/frederica.wav,แน่นอนสิ มันเป็นของที่ระลึกชิ้นเดียวจากแม่เชียวนะ...,,,PENDING_MANUAL_GENERATION,
66,MS01_X01_A1_0010_M_M156_0010.wav,MS01_X01_A1_0010_M_M156_0010,68,68,68,69,ทหารเอสฟรอสต์,npc,male,MALE_YOUNG_A,triangle-strategy,assets/triangle-strategy/approved_voice_references/MALE_YOUNG_A.wav,ว้ากกกก!,,,PENDING_MANUAL_GENERATION,
67,MS01_X01_A1_0010_M_M157_0010.wav,MS01_X01_A1_0010_M_M157_0010,69,69,69,70,ทหารเอสฟรอสต์,npc,male,MALE_YOUNG_A,triangle-strategy,assets/triangle-strategy/approved_voice_references/MALE_YOUNG_A.wav,อ้ากกกกก!,,,PENDING_MANUAL_GENERATION,
