line_no,bank,bank_variant,cue_name,battle_cue_id,cue,sequence,waveform,awb_stream,character_code,character_name,gender,voice_target,classification,action,status,uexp_path,awb_path,audio_duration_sec,english_text,thai_text,transcript_status,transcript_source,battle_cry_class,thai_battle_cry
19,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_01900,1900,18,18,18,19,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,2.204,You will not get the best of me!,เจ้าไม่มีวันเอาชนะข้าได้!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
20,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_02000,2000,19,19,19,20,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.897,Not bad.,ไม่เลว,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
21,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_02100,2100,20,20,20,21,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
22,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_02200,2200,21,21,21,22,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
23,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_02300,2300,22,22,22,23,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
24,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_02400,2400,23,23,23,24,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
25,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_02500,2500,24,24,24,25,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
26,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_02600,2600,25,25,25,26,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
27,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_02700,2700,26,26,26,27,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,1.731,Insolent swine!,ไอ้หมูโอหัง!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
28,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_02800,2800,27,27,27,28,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.697,[BATTLE CRY],อึก...,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,STATUS_REACTION,อึก...
29,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_02900,2900,28,28,28,29,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.469,[BATTLE CRY],ฮ้า!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,ATTACK_CRY,ฮ้า!
30,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_03000,3000,29,29,29,30,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.522,[BATTLE CRY],ฮ่า!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,ATTACK_CRY,ฮ่า!
31,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_03100,3100,30,30,30,31,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.937,Take this!,รับนี่ไป!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
32,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_03200,3200,31,31,31,32,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.889,[BATTLE CRY],ย๊าก!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,ATTACK_CRY,ย๊าก!
33,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_03300,3300,32,32,32,33,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.469,[BATTLE CRY],ฮ้า!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,ATTACK_CRY,ฮ้า!
34,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_03400,3400,33,33,33,34,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.522,[BATTLE CRY],ฮึ่ย!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,ATTACK_CRY,ฮึ่ย!
35,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_03500,3500,34,34,34,35,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,2.115,You were no match for me.,เจ้าเทียบข้าไม่ได้เลย,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
36,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_03600,3600,35,35,35,36,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,2.115,You were no match for me.,เจ้าเทียบข้าไม่ได้เลย,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
37,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_03700,3700,36,36,36,37,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
38,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_03800,3800,37,37,37,38,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
39,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_03900,3900,38,38,38,39,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
40,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_04000,4000,39,39,39,40,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
41,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_04100,4100,40,40,40,41,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
42,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_04200,4200,41,41,41,42,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
43,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_04300,4300,42,42,42,43,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
44,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_04400,4400,43,43,43,44,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
45,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_04500,4500,44,44,44,45,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
46,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_04600,4600,45,45,45,46,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
47,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_04700,4700,46,46,46,47,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
48,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_04800,4800,47,47,47,48,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
49,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_04900,4900,48,48,48,49,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
50,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_05000,5000,49,49,49,50,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
51,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_05100,5100,50,50,50,51,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
52,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_05200,5200,51,51,51,52,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
53,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_05300,5300,52,52,52,53,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
54,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_05400,5400,53,53,53,54,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
55,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_05500,5500,54,54,54,55,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
56,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_05600,5600,55,55,55,56,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
57,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_05700,5700,56,56,56,57,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
58,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_05800,5800,57,57,57,58,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
59,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_05900,5900,58,58,58,59,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
