translation_id,english_text,count,thai_text
BT0063,Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh. Sigh.,1,เฮ้อ...
BT0064,Allow me.,7,ให้ข้าจัดการ
BT0065,This is the end.,2,จบกันตรงนี้
BT0066,It's over.,2,จบแล้ว
BT0067,You're open.,2,เปิดช่องแล้ว
BT0068,Together.,1,ไปด้วยกัน
BT0069,We win.,1,เราชนะ
BT0070,Victory is within reach!,1,ชัยชนะอยู่แค่เอื้อม!
BT0071,A sound strike.,1,โจมตีได้ดี
BT0072,Disgraceful.,1,น่าอับอาย
BT0073,A formidable foe.,1,ศัตรูที่น่าเกรงขาม
BT0074,Good try.,1,พยายามได้ดี
BT0075,Not a chance.,1,ไม่มีทาง
BT0076,You let your guard down.,1,เจ้าลดการป้องกันลงแล้ว
BT0077,Too obvious.,1,เดาง่ายเกินไป
BT0078,A wasted effort.,1,เสียแรงเปล่า
BT0079,Thank you.,14,ขอบคุณ
BT0080,Much obliged.,3,ขอบคุณมาก
BT0081,My apologies.,2,ขออภัย
BT0082,This is...,2,นี่มัน...
BT0083,You have my thanks.,5,ขอบคุณมาก
BT0084,Oh?,1,โอ๊ะ?
BT0085,I have... failed you.,1,ข้า...ทำให้เจ้าผิดหวัง
BT0086,Bened...dict...,1,เบเน...ดิกต์...
BT0087,For you.,1,สำหรับเจ้า
BT0088,Take this.,3,รับนี่ไป
BT0089,I'll take this.,1,ข้าขอรับนี่ไว้
BT0090,Into the shadows.,1,สู่เงามืด
BT0091,Unseen and unheard.,1,ไร้ผู้เห็น ไร้ผู้ได้ยิน
BT0092,The trap is set.,1,วางกับดักแล้ว
BT0093,Try this.,1,ลองนี่ดู
BT0094,You won't escape.,1,เจ้าหนีไม่พ้น
BT0095,Silence.,1,เงียบซะ
BT0096,Here!,11,นี่!
BT0097,Shadows conceal me.,1,เงามืดจะซ่อนข้า
BT0098,You won't catch me.,1,เจ้าจับข้าไม่ได้หรอก
BT0099,Sleep.,1,หลับซะ
BT0100,Suffer.,1,ทรมานไปซะ
BT0101,This'll hurt.,1,นี่ต้องเจ็บแน่
BT0102,Too easy.,1,ง่ายเกินไป
BT0103,Come get me.,1,มาจับข้าสิ
BT0104,I will leave you defenseless.,1,ข้าจะทำให้เจ้าหมดทางป้องกัน
BT0105,A new power.,1,พลังใหม่
BT0106,This will prove useful.,1,นี่ต้องมีประโยชน์แน่
BT0107,For life.,1,เพื่อชีวิต
BT0108,I feel stronger already.,1,รู้สึกแข็งแกร่งขึ้นแล้ว
BT0109,As you command.,1,ตามบัญชา
BT0110,I live to serve.,2,ข้ามีชีวิตเพื่อรับใช้
BT0111,I must be ever ready.,1,ข้าต้องพร้อมเสมอ
BT0112,I await your orders.,1,ข้ารอคำสั่งอยู่
BT0113,My turn now.,1,คราวนี้ตาข้า
BT0114,I won't hold you back!,1,ข้าจะไม่เป็นภาระ!
BT0115,I can do this!,2,ข้าทำได้!
BT0116,Let's go!,2,ไปกันเลย!
BT0117,This isn't good.,7,ท่าไม่ดีแล้ว
BT0118,Wh-What do I do now?,1,ล-แล้วข้าควรทำยังไง?
BT0119,"Just breathe, Cordelia.",1,หายใจลึก ๆ คอร์เดเลีย
BT0120,In the name of the royal family!,1,ในนามแห่งราชวงศ์!
BT0121,Oh!,12,โอ๊ะ!
BT0122,I must be strong.,1,ข้าต้องเข้มแข็ง
BT0123,YEEEAH!,1,เย้!
BT0124,There!,6,นั่น!
BT0125,Nya!,2,เนี๊ยว!
BT0126,How's that?,3,เป็นไงล่ะ?
BT0127,Will this do it?,1,แบบนี้จะได้ไหม?
BT0128,How about this?,7,แบบนี้เป็นไง?
BT0129,Now!,9,ตอนนี้!
BT0130,Face your fate!,1,เผชิญชะตากรรมของเจ้า!
BT0131,Me too!,2,ข้าด้วย!
BT0132,That did it!,3,ได้ผล!
BT0133,Yes!,5,ใช่!
BT0134,No good?,1,ไม่ได้ผลหรือ?
BT0135,Forgive me!,2,ยกโทษให้ข้าด้วย!
BT0136,Blah!,3,แบร่!
BT0137,Now or never!,2,ตอนนี้หรือไม่มีอีกแล้ว!
BT0138,You're wide open!,4,เปิดช่องเต็ม ๆ!
BT0139,"Well, now.",4,อืม ทีนี้ล่ะ
BT0140,This oughta work!,1,แบบนี้น่าจะได้!
BT0141,Phew!,4,เฮ้อ!
BT0142,That was close.,4,เกือบไปแล้ว
BT0143,Many thanks.,2,ขอบคุณมาก
BT0144,Perfect timing!,1,จังหวะเหมาะพอดี!
BT0145,I've never felt better.,1,ไม่เคยรู้สึกดีขนาดนี้มาก่อน
BT0146,What a boon!,1,ช่างเป็นพรจริง ๆ!
BT0147,I must use this well.,1,ข้าต้องใช้มันให้คุ้ม
BT0148,I won't let you down.,4,ข้าจะไม่ทำให้ผิดหวัง
BT0149,"Brother, I failed you.",1,พี่ชาย ข้าทำให้ท่านผิดหวัง
BT0150,Forgive me.,1,ยกโทษให้ข้าด้วย
BT0151,Here you go!,6,นี่ไง!
BT0152,This is it!,5,นี่แหละ!
BT0153,I must do my duty.,1,ข้าต้องทำหน้าที่ของข้า
BT0154,I'm here for you.,1,ข้าอยู่ข้างเจ้า
BT0155,Stay strong!,1,เข้มแข็งไว้!
BT0156,May this be enough.,1,ขอให้เท่านี้เพียงพอ
BT0157,"Yes, please!",1,ได้เลย ได้โปรด!
BT0158,I'm in your debt!,1,ข้าติดหนี้บุญคุณเจ้า!
BT0159,I'll do what I can.,2,ข้าจะทำเท่าที่ทำได้
BT0160,I'm fine.,1,ข้าไม่เป็นไร
BT0161,I will survive this!,1,ข้าจะรอดจากนี่ให้ได้!
BT0162,Out of my way!,5,หลีกไป!
BT0163,Stay with us.,1,อย่าเพิ่งจากเราไป
BT0164,Are you alright?,1,เจ้าไม่เป็นไรใช่ไหม?
BT0165,Let your wounds be healed.,1,ขอให้บาดแผลของเจ้าหายดี
BT0166,I pray this helps.,2,หวังว่านี่จะช่วยได้
BT0167,Take care now.,1,ระวังตัวด้วย
BT0168,I have your back!,1,ข้าคอยหนุนหลังเจ้า!
BT0169,I must not miss.,1,ข้าต้องไม่พลาด
BT0170,I have to do something.,4,ข้าต้องทำอะไรสักอย่าง
BT0171,I must be vigilant.,2,ข้าต้องระวังตัว
BT0172,Back on my feet!,1,ลุกขึ้นมาได้แล้ว!
BT0173,HAAA?,1,ฮ้า?
BT0174,I... I must...,1,ข้า...ข้าต้อง...
BT0175,To end this fight!,1,เพื่อจบการต่อสู้นี้!
BT0176,Wish it didn't come to this.,1,ไม่อยากให้ต้องเป็นแบบนี้เลย
BT0177,I've no choice!,1,ข้าไม่มีทางเลือก!
BT0178,Of course!,1,แน่นอน!
BT0179,I've done it!,1,ข้าทำได้แล้ว!
BT0180,"Yes, very good!",1,ใช่ ดีมาก!
BT0181,Here goes!,7,เอาล่ะ!
BT0182,With all my might!,1,ด้วยกำลังทั้งหมดของข้า!
BT0183,I pray I'm helping.,1,หวังว่าข้าจะช่วยได้
BT0184,I feel I can do this.,1,รู้สึกว่าข้าทำได้
BT0185,If I must.,1,ถ้าจำเป็น
BT0186,I might as well enjoy this.,1,ไหน ๆ แล้วก็สนุกกับมันหน่อย
BT0187,on the S.F.R.O.S. name.,1,ในนามของเอสฟรอสต์
BT0188,You disgust me.,1,เจ้าช่างน่ารังเกียจ
BT0189,You're a clever bunch.,1,พวกเจ้าฉลาดไม่เบา
BT0190,Enough of this!,1,พอได้แล้ว!
BT0191,Curses. Why?,1,บ้าเอ๊ย ทำไมกัน?
BT0192,You'll regret this.,1,เจ้าจะเสียใจที่ทำแบบนี้
BT0193,Just die!,1,ตายซะ!
BT0194,Ha ha ha!,5,ฮ่า ฮ่า ฮ่า!
BT0195,"Oh, I'm sorry.",1,โอ้ ขอโทษที
BT0196,Not a good look on you.,1,ไม่เข้ากับเจ้าเลยนะ
BT0197,Target practice.,1,เป็นเป้าซ้อมชัด ๆ
BT0198,I'll clean this up.,1,ข้าจะเก็บกวาดเอง
BT0199,Ha ha ha! Splendid!,1,ฮ่า ฮ่า ฮ่า! เยี่ยมจริง!
BT0200,Did that hurt?,1,เจ็บไหมล่ะ?
BT0201,What is this?,3,นี่มันอะไร?
BT0202,No!,19,ไม่!
BT0203,You sniveling!,1,ไอ้ขี้แย!
BT0204,A gift!,1,ของขวัญ!
BT0205,You nettle me.,1,เจ้าทำให้ข้ารำคาญ
BT0206,Ah-ah!,1,อ๊ะ อ๊ะ!
BT0207,How kind of you.,1,ใจดีจริงนะ
BT0208,This will do.,1,เท่านี้ก็พอ
BT0209,You can do more for me.,1,เจ้าทำเพื่อข้าได้มากกว่านี้
BT0210,I'll repay this suffering.,1,ข้าจะเอาคืนความเจ็บปวดนี้
BT0211,Are you enjoying this?,1,สนุกอยู่หรือ?
BT0212,out of my sight.,1,ไปให้พ้นสายตาข้า
BT0213,Burn to a crisp.,1,ไหม้เป็นเถ้าซะ
BT0214,You're undeserving.,1,เจ้าไม่คู่ควร
BT0215,Mere dross.,1,ก็แค่เศษสวะ
BT0216,Fall by my hands.,1,ล้มลงด้วยมือข้า
BT0217,Pay attention.,1,ตั้งใจหน่อย
BT0218,My time is now.,1,เวลาของข้ามาถึงแล้ว
BT0219,Behold true power.,1,จงดูพลังที่แท้จริง
BT0220,The heavens judge you.,1,สวรรค์จะพิพากษาเจ้า
BT0221,Our hope still burns.,1,ความหวังของเรายังลุกโชน
BT0222,Now then!,2,เอาล่ะ!
BT0223,You will not hear me scream.,1,เจ้าจะไม่ได้ยินข้ากรีดร้อง
BT0224,"Heavens, grant me strength.",1,สวรรค์ โปรดมอบพลังแก่ข้า
BT0225,Too late!,1,สายไปแล้ว!
BT0226,You may feel pain!,1,เจ้าจะได้รู้จักความเจ็บปวด!
BT0227,This is farewell!,1,นี่คือคำอำลา!
BT0228,Accept your fate!,1,ยอมรับชะตากรรมซะ!
BT0229,One more!,2,อีกครั้ง!
BT0230,I will not relent!,1,ข้าจะไม่ยอมถอย!
BT0231,Do you enjoy pain?,1,ชอบความเจ็บปวดไหม?
BT0232,It will end soon!,1,อีกไม่นานก็จบ!
BT0233,A fine result.,1,ผลลัพธ์ยอดเยี่ยม
BT0234,This is ineffectual.,1,แบบนี้ไม่ได้ผล
BT0235,AHA!,1,อ้าฮ่า!
BT0236,I shall give you no quarter!,1,ข้าจะไม่ปรานีเจ้า!
BT0237,You have no recourse!,1,เจ้าไม่มีทางหนี!
BT0238,How unfortunate for you.,1,ช่างโชคร้ายสำหรับเจ้า
BT0239,You were careless.,1,เจ้าประมาทแล้ว
BT0240,Good try!,2,พยายามได้ดี!
BT0241,I see through you!,1,ข้ามองเจ้าออก!
BT0242,I feel blessed.,1,ข้ารู้สึกได้รับพร
BT0243,I am gracious.,1,ข้าซาบซึ้ง
BT0244,I shall use it well.,1,ข้าจะใช้มันให้ดี
BT0245,This will not be taken for granted.,1,ข้าจะไม่มองข้ามน้ำใจนี้
BT0246,I can feel it!,1,ข้ารู้สึกได้!
BT0247,It wasn't meant to end here.,1,มันไม่ควรจบตรงนี้
BT0248,My power wasn't enough.,1,พลังของข้ายังไม่พอ
BT0249,You'll regret facing me!,1,เจ้าจะเสียใจที่มาสู้กับข้า!
BT0250,The Heaven's Rage!,1,พิโรธแห่งสวรรค์!
BT0251,Tremble in fear!,1,จงสั่นกลัว!
BT0252,May fortune be with us.,1,ขอให้โชคเข้าข้างเรา
BT0253,For those who stand with me.,1,เพื่อผู้ที่ยืนเคียงข้างข้า
BT0254,"Heavens, grant us your blessing!",1,สวรรค์ โปรดประทานพรแก่เรา!
BT0255,The time is now!,1,ถึงเวลาแล้ว!
BT0256,I pray...,1,ข้าขอภาวนา...
BT0257,Grace us.,1,โปรดประทานพรแก่เรา
BT0258,Hear my prayers.,1,โปรดฟังคำภาวนาของข้า
BT0259,Stay down!,1,นอนลงไป!
BT0260,Away with you!,3,ไปให้พ้น!
BT0261,Silence!,1,เงียบ!
BT0262,The gods favor us.,1,เทพเจ้าทรงเข้าข้างเรา
BT0263,Ahhhh!,2,อ๊ากก!
BT0264,We must be strong.,1,เราต้องเข้มแข็ง
BT0265,The heavens cry!,1,สวรรค์ร่ำไห้!
BT0266,A breath from above.,1,ลมหายใจจากเบื้องบน
BT0267,With all my might.,1,ด้วยกำลังทั้งหมดของข้า
BT0268,Those who oppose the heavens shall fall.,1,ผู้ที่ต่อต้านสวรรค์จะต้องล้มลง
BT0269,Heavens heed me!,1,สวรรค์ โปรดฟังข้า!
BT0270,I must put an end to this bloodshed.,1,ข้าต้องยุติการนองเลือดนี้
BT0271,My prayers are vindicated.,1,คำภาวนาของข้าได้รับการตอบรับ
BT0272,My quest is one step closer to completion.,1,ภารกิจของข้าใกล้สำเร็จขึ้นอีกก้าว
BT0273,New power overflows within me.,1,พลังใหม่เอ่อล้นอยู่ในตัวข้า
BT0274,The heavens bless me.,1,สวรรค์ประทานพรแก่ข้า
BT0275,"Please, leave everything to me.",1,โปรดฝากทุกอย่างไว้กับข้า
BT0276,I must give it my all.,1,ข้าต้องทุ่มสุดกำลัง
BT0277,I fight to fulfill the wishes of all.,1,ข้าต่อสู้เพื่อทำตามความปรารถนาของทุกคน
BT0278,Let me show you what I've learned.,1,ให้ข้าแสดงสิ่งที่เรียนรู้มา
BT0279,I fight for peace.,1,ข้าต่อสู้เพื่อสันติ
BT0280,"At this rate, I...",1,ถ้ายังเป็นแบบนี้ ข้า...
BT0281,I cannot lose.,2,ข้าแพ้ไม่ได้
BT0282,I can still stand.,1,ข้ายังยืนไหว
BT0283,It hurts.,1,เจ็บ...
BT0284,Cut!,1,ฟัน!
BT0285,Bruh!,1,เฮ้ย!
BT0286,Here I come!,2,ข้ามาแล้ว!
BT0287,Sorry!,2,ขอโทษ!
BT0288,May I?,1,ขอข้าจัดการได้ไหม?
BT0289,My turn!,5,ตาข้า!
BT0290,It worked!,2,ได้ผล!
BT0291,We can win this!,1,เราชนะได้!
BT0292,Oh no!,2,ไม่นะ!
BT0293,What?,12,อะไรนะ?
BT0294,Ouch!,3,โอ๊ย!
BT0295,ENOUGH!,1,พอได้แล้ว!
BT0296,I won't let you.,1,ข้าไม่ยอมให้เจ้าทำ
BT0297,Do not underestimate me.,2,อย่าดูถูกข้า
BT0298,Careful!,1,ระวัง!
BT0299,Much appreciated.,7,ขอบคุณมาก
BT0300,I can keep fighting!,1,ข้ายังสู้ต่อได้!
BT0301,You have my gratitude.,2,ขอขอบคุณ
BT0302,Delightful!,1,ช่างน่ายินดี!
BT0303,Thank you!,2,ขอบคุณ!
BT0304,I can do it!,2,ข้าทำได้!
BT0305,Sarana...,1,ซาราน่า...
BT0306,Mother...,1,ท่านแม่...
BT0307,For you!,3,สำหรับเจ้า!
BT0308,For myself.,1,เพื่อตัวข้าเอง
BT0309,Burn!,1,ไหม้ซะ!
BT0310,"Flames, heed my call!",1,เปลวเพลิง จงฟังเสียงข้า!
BT0311,For the good of all.,1,เพื่อประโยชน์ของทุกคน
BT0312,Let us work together.,1,เรามาร่วมมือกัน
BT0313,We fight as one.,1,เราต่อสู้เป็นหนึ่งเดียว
BT0314,Two ashes.,1,สองเถ้าถ่าน
BT0315,Stay right there!,1,หยุดอยู่ตรงนั้น!
BT0316,The fires roar!,1,เปลวเพลิงคำราม!
BT0317,With the powers in me.,1,ด้วยพลังที่อยู่ในตัวข้า
BT0318,I shall protect you!,2,ข้าจะปกป้องเจ้า!
BT0319,Be one with the flames.,1,จงเป็นหนึ่งเดียวกับเปลวเพลิง
BT0320,Let me help.,2,ให้ข้าช่วย
BT0321,The flames consume you!,2,เปลวไฟจะเผาผลาญเจ้า!
BT0322,I will do what I must.,1,ข้าจะทำสิ่งที่ต้องทำ
BT0323,This power will protect us.,1,พลังนี้จะปกป้องเรา
BT0324,We will make our ideals reality.,1,เราจะทำให้อุดมการณ์ของเราเป็นจริง
BT0325,For a better world.,1,เพื่อโลกที่ดีกว่า
BT0326,I am ready.,2,ข้าพร้อมแล้ว
BT0327,Shall we?,2,ไปกันไหม?
BT0328,I hope I did not disappoint.,1,หวังว่าข้าจะไม่ทำให้ผิดหวัง
BT0329,It was worth every effort.,1,ทุกความพยายามคุ้มค่าแล้ว
BT0330,Let me give it a try.,1,ให้ข้าลองดู
BT0331,"With this terrain, I should...",1,ถ้าใช้ภูมิประเทศตรงนี้ ข้าน่าจะ...
BT0332,Let's see now.,1,มาดูกัน
BT0333,"Alright, here I go.",1,เอาล่ะ ข้าจะลุยแล้ว
BT0334,This is... not good.,2,นี่มัน...ไม่ดีเลย
BT0335,I have to turn this around.,1,ข้าต้องพลิกสถานการณ์ให้ได้
BT0336,If I utilize the ground here...,1,ถ้าใช้พื้นที่ตรงนี้ให้เป็นประโยชน์...
BT0337,"Eheh, heh.",1,เอ๊ะ ฮะ ฮะ
BT0338,This really hurts.,1,เจ็บจริง ๆ
BT0339,Oof!,4,อุ้ก!
BT0340,Together!,1,ไปด้วยกัน!
BT0341,Let me help!,3,ให้ข้าช่วย!
BT0342,That went well.,2,ไปได้สวย
BT0343,I actually did it!,1,ข้าทำได้จริง ๆ!
BT0344,Disappointing.,1,น่าผิดหวัง
BT0345,Oops.,1,อุ๊บ
BT0346,I think not.,3,ข้าไม่คิดอย่างนั้น
BT0347,Watch me.,1,ดูข้าไว้
BT0348,You fell for it.,1,ติดกับแล้ว
BT0349,I was waiting for that.,2,ข้ารอจังหวะนี้อยู่
BT0350,Ho!,1,โฮ่!
BT0351,Tick!,1,ติ๊ก!
BT0352,You saved the day.,1,เจ้าช่วยสถานการณ์ไว้ได้
BT0353,Thank you so much.,1,ขอบคุณมากจริง ๆ
BT0354,This should do the trick.,2,แบบนี้น่าจะได้ผล
BT0355,No way!,1,ไม่มีทาง!
BT0356,Is this how it ends?,3,นี่คือจุดจบของข้าหรือ?
BT0357,Take that!,11,รับนี่ไป!
BT0358,The land can help us.,1,ผืนดินจะช่วยเราได้
BT0359,This should help.,2,นี่น่าจะช่วยได้
BT0360,Are you okay?,1,เจ้าไม่เป็นไรใช่ไหม?
BT0361,I'm here!,1,ข้าอยู่นี่!
BT0362,"If I do this, then...",1,ถ้าข้าทำแบบนี้ แล้วก็...
BT0363,Everything will be okay.,1,ทุกอย่างจะเรียบร้อย
BT0364,Grant us your blessing.,1,โปรดประทานพรแก่เรา
BT0365,Strike true!,2,จงโจมตีให้แม่น!
BT0366,"Flames, gather!",1,เปลวเพลิง จงรวมตัว!
BT0367,"Ice, heed my call!",1,น้ำแข็ง จงฟังคำข้า!
BT0368,"Earth, be with us.",1,ผืนดิน จงอยู่กับเรา
BT0369,"Water, I beseech thee!",1,สายน้ำ ข้าขอวิงวอน!
BT0370,Heal!,1,รักษา!
BT0371,I have you now.,3,จับเจ้าได้แล้ว
BT0372,Powers of nature!,1,พลังแห่งธรรมชาติ!
BT0373,Let the very land of Norzelya grant me might!,1,ขอผืนแผ่นดินแห่งนอร์เซเลียมอบพลังให้ข้า!
BT0374,Try this on!,2,ลองรับนี่ไป!
BT0375,Right there!,1,ตรงนั้น!
BT0376,I live for new discoveries.,1,ข้ามีชีวิตเพื่อการค้นพบใหม่ ๆ
BT0377,I must continue my studies.,1,ข้าต้องศึกษาต่อไป
BT0378,My hunger for knowledge is never sated.,1,ความกระหายความรู้ของข้าไม่มีวันสิ้นสุด
BT0379,Woohoo! Look at me go!,1,วู้ฮู! ดูข้าสิ!
BT0380,"Just leave everything to me, okay?",1,ฝากทุกอย่างไว้กับข้าได้เลย โอเคไหม?
BT0381,You got it.,2,ได้เลย
BT0382,I've made progress. I just know it.,1,ข้าก้าวหน้าแล้ว ข้ารู้สึกได้
BT0383,I will never regret coming to Woolfort.,1,ข้าไม่เคยเสียใจที่มาวูลฟอร์ต
BT0384,Prepare yourself.,1,เตรียมตัวไว้
BT0385,Now then.,2,เอาล่ะ
BT0386,Shall I?,1,ให้ข้าจัดการไหม?
BT0387,They won't go down easy.,1,พวกมันไม่ล้มง่าย ๆ แน่
BT0388,My age is catching up with me.,1,อายุเริ่มตามข้าทันแล้วสินะ
BT0389,Good grief.,1,ให้ตายสิ
BT0390,I cannot give up.,1,ข้ายอมแพ้ไม่ได้
BT0391,Mm.,1,อืม
BT0392,"Ugh, that stings.",1,อึก เจ็บแสบจริง
BT0393,Fuuu!,1,ฟู่!
BT0394,Cool!,2,เยี่ยม!
BT0395,This ends here.,1,จบกันตรงนี้
BT0396,Farewell.,3,ลาก่อน
BT0397,Ha ha ha ha ha!,3,ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!
BT0398,And now me.,1,คราวนี้ข้า
BT0399,I show no mercy.,1,ข้าไม่ปรานี
BT0400,My fist struck true.,1,หมัดของข้าเข้าเป้าเต็ม ๆ
BT0401,I don't pull my punches.,1,ข้าไม่ออมมือหรอก
BT0402,My goodness.,1,ตายจริง
BT0403,Another blunder.,1,พลาดอีกแล้ว
BT0404,Agh!,16,อั่ก!
BT0405,Impressive.,1,น่าประทับใจ
BT0406,Too slow!,4,ช้าไป!
BT0407,You fool!,3,เจ้าโง่!
BT0408,A rash decision.,1,ตัดสินใจหุนหันเกินไป
BT0409,You won't fool me!,1,หลอกข้าไม่ได้หรอก!
BT0410,I can fight anew.,1,ข้าสู้ต่อได้อีก
BT0411,I shan't disappoint.,1,ข้าจะไม่ทำให้ผิดหวัง
BT0412,We won't lose.,1,เราจะไม่แพ้
BT0413,I have failed.,1,ข้าล้มเหลวแล้ว
BT0414,My time has come and gone.,1,ยุคของข้าคงผ่านไปแล้ว
BT0415,RAAH!,1,ย๊าก!
BT0416,For these old bones.,1,เพื่อกระดูกแก่ ๆ นี้
BT0417,Shall we then?,1,งั้นก็เริ่มกันเลยไหม?
BT0418,You will not strike me.,1,เจ้าจะโจมตีข้าไม่ได้
BT0419,I shan't miss.,1,ข้าจะไม่พลาด
BT0420,I see your every weakness.,1,ข้ามองเห็นทุกจุดอ่อนของเจ้า
BT0421,I will fight if I must.,1,ถ้าจำเป็นข้าก็จะสู้
BT0422,"Very well, then.",1,ได้ งั้นก็เอาเลย
BT0423,Can you handle my might?,1,รับพลังของข้าไหวไหม?
BT0424,I must refine my skills.,1,ข้าต้องขัดเกลาฝีมือให้ดียิ่งขึ้น
BT0425,so an old dog can learn new tricks.,1,แม้หมาแก่ก็ยังเรียนรู้ลูกเล่นใหม่ได้
BT0426,I mustn't give up hope.,1,ข้าต้องไม่หมดหวัง
